Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Peptides 3	Peptides 7	Peptides 8	Peptides 9	Razor + unique peptides 1	Razor + unique peptides 2	Razor + unique peptides 3	Razor + unique peptides 7	Razor + unique peptides 8	Razor + unique peptides 9	Unique peptides 1	Unique peptides 2	Unique peptides 3	Unique peptides 7	Unique peptides 8	Unique peptides 9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1	Identification type 2	Identification type 3	Identification type 7	Identification type 8	Identification type 9	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Sequence coverage 3 [%]	Sequence coverage 7 [%]	Sequence coverage 8 [%]	Sequence coverage 9 [%]	Intensity	Intensity 1	Intensity 2	Intensity 3	Intensity 7	Intensity 8	Intensity 9	iBAQ	iBAQ 1	iBAQ 2	iBAQ 3	iBAQ 7	iBAQ 8	iBAQ 9	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Cre12.g519180.t2.1;Cre12.g519180.t1.1;Cre12.g519180.t3.1;Cre12.g519180.t4.1	Cre12.g519180.t2.1;Cre12.g519180.t1.1;Cre12.g519180.t3.1	14;14;10;4	14;14;10;4	14;14;10;4	>Cre12.g519180.t2.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre12.g519180.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre12.g519180.t3.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	4	14	14	14	9	10	10	11	11	11	9	10	10	11	11	11	9	10	10	11	11	11	15.4	15.4	15.4	108.77	1013	1013;1093;428;560	0	102.73	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.1	12.8	12.9	12.3	12.3	12	1293900	189270	199400	184030	233610	247810	239830	28129	4114.6	4334.7	4000.7	5078.5	5387.2	5213.6	63				1046	250;577;729;1512;1810;2240;2593;3402;3894;4293;5050;6492;7264;7917	True;True;True;True;True;True;True;True;True;True;True;True;True;True	262;611;780;1620;1934;2396;2768;3634;4157;4574;5419;6951;7771;8464	1271;1272;1273;1274;1275;1276;3030;3031;3032;3033;3034;3035;3853;3854;3855;3856;3857;3858;8233;8234;8235;8236;9845;9846;9847;9848;9849;9850;12099;12100;12101;12102;12103;12104;13945;13946;13947;13948;13949;13950;18331;18332;18333;18334;18335;21070;21071;21072;21073;21074;23324;23325;23326;23327;27381;35164;39363;39364;39365;39366;39367;39368;42829;42830;42831	1262;1263;1264;1265;1266;1267;1268;1269;1270;1271;1272;1273;3239;3240;3241;3242;3243;3244;4117;4118;4119;9128;9129;9130;10865;10866;10867;10868;10869;10870;13364;13365;13366;13367;13368;13369;13370;13371;13372;15547;15548;15549;15550;15551;20487;20488;20489;20490;20491;23590;23591;23592;26019;30458;38660;43414;43415;43416;43417;43418;43419;43420;43421;47082	1273;3239;4119;9128;10870;13369;15550;20487;23592;26019;30458;38660;43415;47082	598	708
Cre12.g519300.t1.2	Cre12.g519300.t1.2	2	2	2	>Cre12.g519300.t1.2 Predicted protein ALS=TEF9 DBV=JGI5.5 GN=TEF9 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	12	12	12	27.45	258	258	0	8.5475	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12	12	8.9	8.9	12	8.9	126330	31250	27559	29440	18004	2074.2	18003	11485	2840.9	2505.4	2676.4	1636.8	188.56	1636.6	10				1047	651;6943	True;True	686;7422	3368;3369;3370;3371;3372;3373;37534;37535;37536	3574;3575;3576;3577;3578;3579;3580;3581;3582;41265	3578;41265		
Cre12.g519350.t1.2	Cre12.g519350.t1.2	5	5	5	>Cre12.g519350.t1.2 Prohibitin ALS=PHB2 DBV=JGI5.5 GN=PHB2 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	5	5	5	2	2	3	4	4	3	2	2	3	4	4	3	2	2	3	4	4	3	22	22	22	31.253	282	282	0	47.156	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.3	10.3	13.5	17	17	11.7	150020	28425	10879	6760.8	37681	39273	27005	7501.2	1421.2	543.96	338.04	1884	1963.7	1350.3	16				1048	750;1054;3214;3655;5940	True;True;True;True;True	804;1127;3437;3901;6363	3980;3981;3982;3983;3984;5673;5674;5675;17325;17326;17327;19713;19714;19715;19716;32226;32227;32228	4261;4262;4263;4264;4265;4266;4267;4268;6200;6201;6202;19430;19431;19432;22020;35312	4268;6201;19431;22020;35312		
Cre12.g519450.t1.1	Cre12.g519450.t1.1	1	1	1	>Cre12.g519450.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	7	7	7	22.418	201	201	0.0029963	2.3078	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	7	0	0	7	0	0	6438.6	3144.8	0	0	3293.8	0	0	536.55	262.06	0	0	274.48	0	0	2				1049	5744	True	6156	31169;31170	34243;34244	34244		
Cre12.g520200.t1.1	Cre12.g520200.t1.1	3	3	3	>Cre12.g520200.t1.1 Pyridoxamine 5\-phosphate oxidase-like protein DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	3	3	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	9.5	9.5	9.5	40.25	370	370	0	6.4099	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.6	7.6	5.1	7	7.6	7	58714	15758	16791	3265.4	6616.6	13152	3130.8	2348.5	630.31	671.63	130.62	264.66	526.09	125.23	9				1050	5267;6381;7394	True;True;True	5658;6834;7907	28595;28596;34566;34567;34568;40053;40054;40055;40056;40057;40058	31740;31741;37983;37984;44206;44207;44208;44209;44210	31740;37984;44207		
Cre12.g520500.t1.1	Cre12.g520500.t1.1	14	14	14	>Cre12.g520500.t1.1 Acidic ribosomal protein P0, Ribosomal protein L10 ALS=RPP0 DBV=JGI5.5 GN=RPP0 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	14	14	14	13	12	13	14	13	12	13	12	13	14	13	12	13	12	13	14	13	12	56.6	56.6	56.6	34.575	320	320	0	173.96	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	51.2	49.1	50.3	56.6	54.7	51.6	6189600	1053300	1018000	1051600	1095200	1060000	911400	294740	50158	48477	50077	52153	50476	43400	135				1051	389;447;1676;2376;3015;4562;5360;5547;6964;6994;7034;7177;7718;7769	True;True;True;True;True;True;True;True;True;True;True;True;True;True	408;469;470;1795;2540;3216;4863;5760;5952;7445;7475;7518;7669;7670;7671;8250;8302	1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;2267;2268;2269;2270;2271;2272;2273;2274;2275;2276;2277;2278;2279;2280;2281;9157;9158;9159;9160;9161;9162;12823;12824;12825;12826;12827;16213;16214;16215;16216;16217;24736;24737;24738;24739;24740;29156;29157;29158;29159;29160;30115;30116;30117;37656;37657;37658;37659;37660;37661;37662;37663;37832;37833;37834;37835;37836;37837;38085;38086;38087;38088;38089;38090;38847;38848;38849;38850;38851;38852;38853;38854;38855;38856;38857;38858;38859;38860;38861;38862;41761;41762;41763;41764;41765;41766;42037;42038;42039;42040;42041;42042	2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2372;2373;2374;2375;2376;2377;2378;2379;2380;2381;2382;2383;2384;2385;2386;2387;2388;2389;2390;2391;2392;2393;2394;10169;10170;10171;10172;10173;10174;14211;14212;14213;18117;18118;27596;27597;27598;27599;27600;27601;27602;27603;27604;27605;32354;32355;32356;33281;33282;41383;41384;41385;41386;41387;41388;41389;41390;41391;41392;41393;41394;41395;41396;41604;41605;41606;41607;41608;41609;41610;41611;41612;41613;41614;41615;41616;41617;41618;41903;41904;41905;41906;41907;41908;41909;41910;41911;41912;42789;42790;42791;42792;42793;42794;42795;42796;42797;42798;42799;42800;45996;45997;45998;45999;46000;46001;46002;46003;46004;46005;46006;46007;46008;46289;46290;46291;46292;46293;46294;46295;46296;46297;46298;46299	2014;2374;10172;14212;18118;27603;32354;33281;41395;41617;41906;42800;45997;46291	599;600;601;602	138;212;219;220
Cre12.g520600.t1.2	Cre12.g520600.t1.2	3	3	3	>Cre12.g520600.t1.2 Plastid ribosomal protein S6 ALS=PRPS6 DBV=JGI5.5 GN=PRPS6 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	3	3	2	2	2	2	3	3	2	2	2	2	3	3	2	2	2	2	18.7	18.7	18.7	19.071	171	171	0	17.969	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.7	18.7	14.6	14.6	14.6	14.6	814910	132700	139910	127360	137480	138450	139020	58208	9478.4	9993.5	9097.2	9819.7	9889.3	9929.8	16				1052	1037;2415;4131	True;True;True	1108;2582;4406	5548;5549;5550;5551;5552;5553;5554;5555;5556;5557;5558;5559;13016;13017;22518;22519;22520;22521;22522;22523	6038;6039;6040;6041;6042;6043;6044;6045;6046;6047;6048;6049;14431;14432;25083;25084	6045;14432;25083		
Cre12.g521300.t1.2	Cre12.g521300.t1.2	1	1	1	>Cre12.g521300.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	13	13	12.294	108	108	0	8.8688	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13	13	13	13	13	13	33516	6277	5529.2	1829.9	7619.4	5788.4	6471.6	11172	2092.3	1843.1	609.98	2539.8	1929.5	2157.2	7				1053	720	True	770;771	3808;3809;3810;3811;3812;3813;3814;3815	4083;4084;4085;4086;4087;4088;4089	4088	603	83
Cre12.g522350.t1.2	Cre12.g522350.t1.2	3	3	3	>Cre12.g522350.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	1	1	1	2	2	3	1	1	1	2	2	3	1	1	1	2	2	3	8.9	8.9	8.9	45.19	403	403	0	10.122	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	2.7	2.7	2.7	6.2	5.5	8.9	55038	6214.2	7773.2	6692.9	12664	8019.2	13675	2038.5	230.16	287.89	247.88	469.03	297.01	506.49	8				1054	2743;7631;7776	True;True;True	2930;8156;8310	14766;14767;14768;14769;14770;14771;41351;41352;42081;42082	16484;16485;16486;16487;16488;45541;46331;46332	16488;45541;46331		
Cre12.g522600.t1.2	Cre12.g522600.t1.2	4	4	4	>Cre12.g522600.t1.2 mitochondrial cytochrome c DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	39.3	39.3	39.3	11.958	112	112	0	78.746	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	39.3	39.3	39.3	39.3	39.3	39.3	1658300	298190	312350	312100	246600	241570	247480	207290	37274	39044	39012	30825	30196	30936	40				1055	264;5556;6140;7335	True;True;True;True	277;5961;6575;7846	1338;1339;1340;1341;1342;1343;1344;1345;1346;1347;1348;1349;30142;30143;30144;30145;30146;30147;33223;33224;33225;33226;33227;33228;33229;39737;39738;39739;39740;39741;39742	1334;1335;1336;1337;1338;1339;1340;1341;1342;1343;1344;1345;1346;33309;33310;33311;33312;33313;33314;36419;36420;36421;36422;36423;36424;36425;36426;36427;36428;36429;36430;43833;43834;43835;43836;43837;43838;43839;43840;43841	1334;33313;36430;43836		
Cre12.g523150.t1.2	Cre12.g523150.t1.2	1	1	1	>Cre12.g523150.t1.2 Prefoldin molecular chaperone, subunit 5 ALS=PFD5 DBV=JGI5.5 GN=PFD5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	6.7	6.7	6.7	16.542	149	149	1	-2	By matching	By matching	By matching	By MS/MS	By matching	By matching	0	0	0	6.7	0	0	4358	0	0	0	4358	0	0	435.8	0	0	0	435.8	0	0	1	+			1056	4517	True	4813	24514	27345	27345	604	33
Cre12.g523850.t1.2	Cre12.g523850.t1.2	13	13	13	>Cre12.g523850.t1.2 Ubiquinol:cytochrome c oxidoreductase 50 kDa core 1 subunit ALS=QCR1 DBV=JGI5.5 GN=QCR1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	13	13	13	8	7	8	11	10	12	8	7	8	11	10	12	8	7	8	11	10	12	31.1	31.1	31.1	55.054	495	495	0	54.488	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.6	15.8	19	26.7	25.1	27.3	1630400	253520	233740	209360	327740	271760	334290	58229	9054.3	8347.8	7477.2	11705	9705.8	11939	78				1057	336;1030;1507;1645;2023;2061;2100;3459;3796;4102;5088;5812;6428	True;True;True;True;True;True;True;True;True;True;True;True;True	354;1101;1615;1762;2156;2157;2196;2238;3695;4055;4377;5469;6232;6233;6885	1732;1733;1734;5499;5500;5501;5502;5503;5504;5505;5506;5507;5508;5509;5510;8209;8210;8211;9017;9018;9019;10946;10947;10948;11123;11124;11125;11126;11127;11128;11335;11336;11337;18667;18668;18669;18670;18671;18672;20503;20504;20505;20506;20507;20508;22354;22355;22356;22357;22358;22359;27639;31545;31546;31547;31548;31549;31550;31551;34831;34832;34833;34834;34835;34836	1731;5986;5987;5988;5989;5990;5991;5992;5993;5994;5995;5996;5997;9103;9104;9105;9106;10029;10030;10031;10032;10033;10034;12158;12159;12338;12339;12340;12341;12342;12536;20876;20877;20878;20879;20880;20881;20882;20883;20884;20885;20886;22950;22951;22952;22953;22954;22955;22956;22957;22958;24892;24893;24894;24895;24896;24897;24898;24899;24900;24901;24902;30716;34573;34574;34575;34576;34577;38250;38251;38252;38253;38254;38255;38256;38257;38258;38259;38260	1731;5997;9105;10030;12158;12338;12536;20882;22953;24897;30716;34577;38258	605;606	128;388
Cre12.g524300.t1.2	Cre12.g524300.t1.2	2	2	2	>Cre12.g524300.t1.2 Predicted protein ALS=CGL71 DBV=JGI5.5 GN=CGL71 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	12	12	12	28.368	258	258	0.00079554	2.8923	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.5	3.5	12	8.5	12	8.5	56069	8654.6	9165.1	15888	4297.9	13920	4143	5097.2	786.78	833.19	1444.4	390.72	1265.5	376.64	5				1058	4121;6302	True;True	4396;6751	22454;22455;22456;22457;34145;34146;34147;34148	24993;24994;24995;24996;37469	24995;37469		
Cre12.g524400.t1.2	Cre12.g524400.t1.2	3	3	3	>Cre12.g524400.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	2	1	1	2	2	3	2	1	1	2	2	3	2	1	1	2	2	3	11.3	11.3	11.3	38.727	391	391	0	5.7176	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	8.2	4.6	4.6	8.2	8.2	11.3	33780	5399.6	3784.1	4638.6	6338.9	6823.5	6795.5	1535.5	245.44	172.01	210.84	288.13	310.16	308.89	5				1059	726;1013;2167	True;True;True	777;1084;2316	3840;3841;3842;3843;3844;3845;5404;11705;11706;11707;11708	4109;4110;4111;5873;12960	4111;5873;12960		
Cre12.g525200.t1.2	Cre12.g525200.t1.2	12	12	12	>Cre12.g525200.t1.2 Nucleolar protein, Component of C/D snoRNPs ALS=NOP56 DBV=JGI5.5 GN=NOP56 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	12	12	12	11	8	11	10	11	11	11	8	11	10	11	11	11	8	11	10	11	11	23.7	23.7	23.7	56.267	503	503	0	78.518	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.7	15.5	22.1	19.7	21.3	21.7	685170	116140	72289	119700	104870	133820	138360	23627	4004.7	2492.7	4127.7	3616.1	4614.5	4771	53				1060	72;73;1179;1628;2679;2690;3113;3827;4342;4411;7286;7804	True;True;True;True;True;True;True;True;True;True;True;True	75;76;1259;1744;1745;2860;2871;3328;4089;4627;4702;7793;7794;8342	348;349;350;351;352;353;354;355;356;357;358;359;6354;6355;6356;6357;6358;6359;8932;8933;8934;8935;14391;14392;14393;14440;14441;14442;14443;14444;14445;16761;16762;16763;16764;16765;20687;20688;20689;20690;23563;23564;23565;23566;23567;23568;23975;23976;23977;23978;23979;39484;39485;39486;39487;39488;39489;39490;39491;39492;42228;42229;42230;42231;42232;42233	358;359;360;361;362;363;7042;7043;7044;9928;9929;9930;9931;16079;16121;16122;16123;16124;16125;16126;16127;16128;16129;18788;18789;18790;18791;23193;23194;23195;26272;26273;26274;26275;26276;26277;26278;26730;43543;43544;43545;43546;43547;43548;43549;43550;43551;46472;46473;46474;46475;46476;46477	358;363;7042;9928;16079;16124;18791;23193;26276;26730;43551;46473	607;608;609	38;143;189
Cre12.g526750.t1.2	Cre12.g526750.t1.2	3	3	3	>Cre12.g526750.t1.2 RNA binding motif protein DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	2	3	2	3	3	1	2	3	2	3	3	1	2	3	2	3	3	1	20.1	20.1	20.1	16.592	144	144	0	6.5286	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	14.6	20.1	14.6	20.1	20.1	9	118200	13728	27496	13507	28886	29221	5364.4	13134	1525.4	3055.1	1500.8	3209.6	3246.8	596.05	5				1061	241;3263;5217	True;True;True	252;3488;5606	1212;1213;1214;1215;1216;1217;17582;17583;17584;28333;28334;28335;28336;28337	1196;1197;19705;31442;31443	1196;19705;31442		
Cre12.g526800.t1.2	Cre12.g526800.t1.2	6	6	6	>Cre12.g526800.t1.2 6-phosphogluconate dehydrogenase, decarboxylating ALS=GND1 DBV=JGI5.5 GN=GND1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	6	6	6	5	5	5	6	5	6	5	5	5	6	5	6	5	5	5	6	5	6	13.8	13.8	13.8	61.024	566	566	0	33.963	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.2	10.2	10.2	13.8	12	13.8	335470	64169	66341	65822	48301	39798	51042	9318.7	1782.5	1842.8	1828.4	1341.7	1105.5	1417.8	41				1062	2081;2335;3903;5296;6461;7597	True;True;True;True;True;True	2218;2498;4166;5692;6919;8121	11223;11224;11225;11226;11227;11228;12597;12598;12599;12600;12601;12602;21125;21126;21127;28768;28769;28770;28771;28772;28773;35007;35008;35009;35010;35011;35012;41168;41169;41170;41171;41172	12415;12416;12417;12418;12419;12420;13951;13952;13953;13954;23636;23637;23638;31921;31922;31923;31924;31925;31926;31927;31928;31929;31930;31931;38456;38457;38458;38459;38460;38461;38462;38463;38464;38465;38466;38467;45347;45348;45349;45350;45351	12417;13954;23636;31925;38456;45351		
Cre12.g527550.t1.2	Cre12.g527550.t1.2	2	2	2	>Cre12.g527550.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	18.5	18.5	18.5	13.408	124	124	0	3.256	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	18.5	8.9	18.5	13604	0	0	0	4504.8	4614.4	4485.2	1511.6	0	0	0	500.53	512.71	498.35	4				1063	2870;4670	True;True	3059;4975	15381;15382;25315;25316;25317	17169;17170;28192;28193	17169;28192		
Cre12.g527850.t1.1	Cre12.g527850.t1.1	1	1	1	>Cre12.g527850.t1.1 Translin-like protein ALS=TRA1 DBV=JGI5.5 GN=TRA1 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.1	3.1	3.1	31.569	291	291	0.0022556	2.3474	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.1	3.1	3.1	3.1	3.1	3.1	18321	3006	3481.6	2925.3	3039.5	2993.3	2875.5	1526.8	250.5	290.13	243.78	253.29	249.44	239.62	3				1064	1440	True	1539	7795;7796;7797;7798;7799;7800	8639;8640;8641	8640		
Cre12.g528000.t1.2	Cre12.g528000.t1.2	15	15	15	>Cre12.g528000.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	15	15	15	14	12	15	14	15	14	14	12	15	14	15	14	14	12	15	14	15	14	38.6	38.6	38.6	44.199	409	409	0	135.94	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	36.4	33	38.6	35.5	38.6	35.5	4812200	821370	773880	808350	816420	758490	833660	171860	29335	27639	28870	29158	27089	29773	151				1065	1033;1371;1900;1980;3094;3537;3657;3970;4385;4465;5125;6091;6638;7015;7567	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1104;1466;1467;2026;2110;3308;3778;3903;4235;4676;4756;4757;5511;6526;7102;7498;8091	5521;5522;5523;5524;5525;5526;7425;7426;7427;7428;7429;7430;7431;7432;7433;7434;7435;7436;7437;7438;7439;10288;10289;10290;10291;10292;10293;10719;10720;10721;10722;10723;10724;10725;10726;10727;10728;10729;16669;16670;16671;16672;16673;16674;19056;19057;19058;19059;19060;19061;19726;19727;19728;19729;19730;19731;21553;21554;21555;21556;21557;23839;23840;23841;23842;23843;23844;24240;24241;24242;24243;24244;24245;24246;24247;24248;24249;27859;27860;27861;27862;27863;27864;32989;32990;32991;32992;32993;32994;35925;35926;35927;35928;35929;35930;37978;37979;37980;41009;41010;41011;41012;41013;41014	6005;6006;6007;6008;6009;6010;6011;6012;6013;6014;6015;6016;8222;8223;8224;8225;8226;8227;8228;8229;8230;8231;8232;8233;8234;8235;8236;8237;8238;8239;8240;8241;8242;8243;8244;8245;8246;8247;8248;8249;11300;11301;11302;11303;11304;11305;11306;11307;11308;11863;11864;11865;11866;11867;11868;11869;11870;11871;11872;11873;18667;18668;18669;18670;18671;18672;18673;18674;18675;18676;18677;18678;21308;21309;21310;21311;21312;21313;21314;21315;21316;21317;21318;21319;21320;22043;22044;22045;22046;22047;22048;22049;22050;22051;22052;22053;22054;24041;26555;26556;26557;26558;26559;26560;26561;26562;26563;26564;26565;26566;27005;27006;27007;27008;27009;27010;27011;27012;27013;27014;27015;27016;30935;30936;30937;30938;30939;36144;36145;36146;36147;36148;36149;36150;36151;36152;36153;39503;39504;39505;39506;39507;39508;39509;39510;39511;39512;39513;39514;41816;41817;41818;45205;45206;45207	6010;8243;11304;11865;18671;21319;22043;24041;26564;27016;30938;36153;39514;41817;45206	610;611	211;338
Cre12.g528700.t1.2	Cre12.g528700.t1.2	1	1	1	>Cre12.g528700.t1.2 Tryptophan synthetase alpha subunit ALS=WSN1 DBV=JGI5.5 GN=WSN1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	7.1	7.1	7.1	30.996	296	296	0.00079808	2.9143	By matching	By matching	By matching	By MS/MS	By matching	By matching	0	0	7.1	7.1	0	7.1	12407	0	0	5128.9	3692.6	0	3585.4	729.82	0	0	301.7	217.21	0	210.91	1				1066	1730	True	1850	9411;9412;9413	10403	10403		
Cre12.g528750.t1.2	Cre12.g528750.t1.2	4	4	4	>Cre12.g528750.t1.2 Ribosomal protein L12, component of cytosolic 80S ribosome and 60S large subunit ALS=RPL12 DBV=JGI5.5 GN=RPL12 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	4	4	4	3	3	3	2	3	4	3	3	3	2	3	4	3	3	3	2	3	4	35.5	35.5	35.5	17.604	166	166	0	80.96	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.5	26.5	26.5	18.7	26.5	35.5	1676100	257580	265280	265960	292750	298980	295550	167610	25758	26528	26596	29275	29898	29555	30				1067	1611;3382;3769;7386	True;True;True;True	1725;3613;4026;7899	8813;8814;8815;8816;8817;8818;18211;20340;20341;20342;20343;20344;40012;40013;40014;40015;40016;40017	9813;9814;9815;9816;9817;9818;9819;9820;9821;9822;9823;9824;20339;22792;22793;22794;44136;44137;44138;44139;44140;44141;44142;44143;44144;44145;44146;44147;44148;44149	9824;20339;22793;44136	612	107
Cre12.g529400.t1.2	Cre12.g529400.t1.2	2	2	2	>Cre12.g529400.t1.2 Ribosomal protein S27e isoform 1, component of 80S ribosome and 40S small subunit ALS=RPS27e1 DBV=JGI5.5 GN=RPS27e1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	34.9	34.9	34.9	9.5149	86	86	0	38.242	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.8	19.8	19.8	34.9	34.9	34.9	445040	56368	61749	58420	89720	89593	89193	148350	18789	20583	19473	29907	29864	29731	34				1068	4843;7155	True;True	5158;7647	26160;26161;26162;38732;38733;38734;38735;38736;38737	29151;29152;29153;29154;29155;42637;42638;42639;42640;42641;42642;42643;42644;42645;42646;42647;42648;42649;42650;42651;42652;42653;42654;42655;42656;42657;42658;42659;42660;42661;42662;42663;42664;42665	29153;42639		
Cre12.g529651.t1.1	Cre12.g529651.t1.1	7	7	7	>Cre12.g529651.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	7	7	7	5	7	7	7	6	5	5	7	7	7	6	5	5	7	7	7	6	5	35.2	35.2	35.2	21.635	193	193	0	94.066	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.5	35.2	35.2	35.2	29.5	26.4	2669700	387950	410640	518620	418320	515530	418610	242700	35268	37331	47147	38029	46867	38055	56				1069	4329;4805;6090;6280;7262;7310;7720	True;True;True;True;True;True;True	4614;5118;6525;6726;7769;7820;8252	23503;23504;23505;23506;23507;25975;25976;25977;25978;25979;32983;32984;32985;32986;32987;32988;34021;34022;34023;34024;34025;34026;34027;34028;39351;39352;39353;39354;39355;39356;39619;39620;39621;39622;41773;41774;41775;41776;41777;41778;41779;41780;41781;41782;41783;41784	26213;26214;26215;26216;26217;28948;28949;28950;28951;28952;28953;36136;36137;36138;36139;36140;36141;36142;36143;37344;37345;37346;37347;37348;37349;37350;37351;37352;37353;43400;43401;43402;43403;43404;43405;43406;43407;43408;43409;43695;43696;43697;43698;46017;46018;46019;46020;46021;46022;46023;46024;46025;46026;46027;46028;46029;46030;46031;46032;46033	26217;28949;36142;37344;43408;43695;46018		
